---
venue: cedars
---
"#","Album","Artist","Title","Key","BPM","Duration"
"1","All the Cats Join In","IKS Big Band","It's Only a Paper Moon","B♭","129.929414225941","03:29"
"2","The Umbrella Man (2016)","Dan Mclean Hot 6","Swingin' On Nothin'","Dm","115.308338737339","03:58"
"3","Kingdom Of Swing","Adrianna Marie","Sidecar Mama","D","172.256130753447","04:13"
"4","Happy Talk","Kermit Ruffins","More Today Than Yesterday","Dm","162.783892051028","04:00"
"5","Stars over Charleston","Perseverance Jazz Band","My Baby Just Cares for Me","G","147","03:53"
"6","Goody Goody","Tsubasa","Goody Goody","F","200","02:00"
"7","","Dani Sicari & The Easy Rollers","One Scotch, One Bourbon, One Beer","C","124.391040462428","03:00"
"8","Keys To The Blues","Curley Bridges","Stagger Lee (Traditional)","E♭","122.560825496734","03:13"
"9","","Boilermaker Jazz Band","Love Me Or Leave Me","Dm","130.811348837209","03:15"
"10","Happy When I'M With You","Gordon Webster","Twenty Four Robbers","Fm","205.069655199247","02:40"
"11","Wondering Where","Hot Sugar Band","Sandu","E♭","127.349318194786","04:22"
"12","Photographs & Memories: His Greatest Hits","Jim Croce","Bad, Bad Leroy Brown","G","148.050597319425","03:03"
"13","","Professor Cunningham And His Old School","High Degree","Gm","158.16549215717","03:04"
"14","","Blues Beatles","A Hard Days Night (Live) 2017","G","135.316614906832","04:13"
"15","This.","Gordon Webster","Hallelujah, I Love Her So","Gm","148","03:34"
"16","Jump For Joy","Boilermaker Jazz Band","This Can't Be Love","Cm","192.748541666667","03:00"
"17","Fresh","Bria Skonberg","L.O.V.E.","F","154.140330033003","02:34"
"18","","Cable Street Rag Band","Panama","A♭","201.257742761662","04:12"
"19","","Postmodern Jukebox","I Want It That Way","Cm","107.683791692497","03:11"
"20","This.","Gordon Webster","School Days","A♭","164.545727549607","04:00"
"21","101 Hits - Swing Essentials","Glenn Miller & His Orchestra","In The Mood","A♭","163.654570929844","03:31"
"22","The Ultimate Collection - Disc 1","Ray Charles","Hit The Road Jack","C♯m","173.133468723899","01:59"
