---
venue: cedars
---
"#","Album","Artist","Title","Key","BPM","Duration"
"35","","Raffi","Banana Phone","Em","182.490014675626","03:16"
"36","Duets and Duets II - 90Th Birthday Limited Collector's Edition (Disc 2)","Frank Sinatra (feat. Jimmy Buffett)","Mack the Knife","D","154.287307181584","04:27"
"37","","The Four Preps","26 Miles","D","118.908883928571","02:29"
"38","Energia","J Balvin","Ginza","Fm","102","02:51"
"39","","brentalfloss","The Bioshock Song (YT)","A♭","131.654579416603","02:44"
"40","The Devils' Music","Naomi & Her Handsome Devils","I'm Livin' in a Great Big Way","C","155","03:33"
"41","Fresh","Bria Skonberg","L.O.V.E.","F","154.140330033003","02:34"
"42","Ultimate Sinatra","Frank Sinatra","Fly Me To The Moon","D♭","119.1820625","02:27"
"43","","The Kalin Twins","When","F♯/G♭","184.467514885293","02:26"
"44","Deep Sea Ball - The Best Of Clyde McPhatter","Clyde McPhatter","A Lover's Question","A♭","166.277164545128","02:36"
"45","","Girls From Mars","Take The A Train","C","165.731341463415","04:09"
"46","","Barbara Rosene","I'm Wild About That Thing","Cm","111.228866666667","05:09"
"47","Acme","Acme Swing Manufacturing Comany","Bei Mir Bis Du Schoen","Am","191.5","04:34"
"48","","Beth Hart","Jazz Man","A","115","03:50"
"49","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","Button Up Your Overcoat","C","173.31067961165","03:16"
"50","","Professor Cunningham And His Old School","Ain't Gonna Bring Me Down","Dm","194.221290322581","03:02"
"51","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","Sweet Lover No More","Gm","199.271203703704","03:31"
"52","Dick At Night","Richard Cheese","Jefferson's Theme","Dm","105","02:03"
"53","","Tracy Chapman & Buddy Guy","Ain't No Sunshine When She's Gone","C","80.0661209268994","03:13"
"54","","Ruthie Foster","Death Came A-Knockin'","Cm","105.673842909935","03:23"
"55","Reflections","B.B. King","Exactly Like You","A♭","110.529762960625","03:21"
"56","The Complete Collection [Not Now] Disc 1","Robert Johnson","Sweet Home Chicago","Fm","100.947881513899","03:02"
"57","Anthology","Muddy Waters","She's Nineteen Years Old","Bm","136.813714285714","03:16"
"58","","Sonny Boy Nelson","Street Walkin'","Fm","122","02:35"
"59","","Johnnie Temple","Lead Pencil Blues","Fm","99.8644445213256","03:17"
"60","New Beginning","Tracy Chapman","Give Me One Reason","F♯m","100.896775607659","04:28"
"61","","Ben L'oncle Soul","Feeling Good","Gm","82.6541584158416","04:12"
"62","Clapton","Eric Clapton","Autumn Leaves","Bm","82.7706006350797","05:39"
"63","Smokestack Lightning: The Complete Chess Masters 1951-1960 CD 4","Howlin' Wolf","Spoonful","Em","119.577586206897","02:43"
"64","Ladies Man","Pinetop Perkins","Kansas City","C","121","04:44"
"65","","Koko Taylor","I'd Rather Go Blind","A♭","130.859793186169","04:57"

