---
venue: cedars
---
"#","Album","Artist","Title","Key","BPM","Duration"
"1","Goody Goody","Tsubasa","Goody Goody","F","200","02:00"
"2","Moppin' And Boppin'","Jonathan Stout And His Campus Five, Featuring Hilary Alexander","9-20 Special","C","161.502704048902","02:39"
"3","Jump For Joy","Boilermaker Jazz Band","This Can't Be Love","Cm","192.748541666667","03:00"
"4","","Glenn Crytzer's Savoy Seven","Please Don't Imagine","B♭","140","03:28"
"5","Happy Talk","Kermit Ruffins","More Today Than Yesterday","Dm","162.783892051028","04:00"
"6","Runaround Sue","Dion","Runaround Sue","E♭","161.05008456515","02:34"
"7","Photographs & Memories: His Greatest Hits","Jim Croce","Bad, Bad Leroy Brown","G","148.050597319425","03:03"
"8","Fresh","Bria Skonberg","Why Do Fools Fall in Love","F","172","02:21"
"9","Give Me Your Telephone Number","Boilermaker Jazz Band","Out of Nowhere","Fm","167.141554725474","03:21"
"10","All the Cats Join In","IKS Big Band","It's Only a Paper Moon","B♭","129.929414225941","03:29"
"11","Squeeze Me","The Big Butter Jazz Band","Undecided","B♭","196.9078186609","03:40"
"12","","Cable Street Rag Band","Panama","A♭","201.257742761662","04:12"
"13","With Cousin Joe, Sonny Joe and Grampa Joe","Lewis Franco & the Missing Cats Featuring the Brown Eyed Girls","Don't Fix It","C","130","03:21"
"14","Happy When I'M With You","Gordon Webster","Twenty Four Robbers","Fm","205.069655199247","02:40"
"15","Shirt Tail Bounce","Shirt Tail Stompers","In A Mellow Tone","A♭","150.872634835461","03:53"
"16","","Postmodern Jukebox","I Want It That Way","Cm","107.683791692497","03:11"
"17","","Raffi","Banana Phone","Em","182.490014675626","03:16"
"18","","Barbara Rosene","I'm Wild About That Thing","Cm","111.228866666667","05:09"
"19","The Devils' Music","Naomi & Her Handsome Devils","I'm Livin' in a Great Big Way","C","155","03:33"
"20","","The Jive Aces","La Dulche Vita","B♭","160.189002644965","03:14"
"21","Fresh","Bria Skonberg","L.O.V.E.","F","154.140330033003","02:34"
