---
venue: cedars
---
"#","Album","Artist","Title","Key","BPM","Duration"
"1","Happy Talk","Kermit Ruffins","More Today Than Yesterday","Dm","162.783892051028","04:00"
"2","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","Button Up Your Overcoat","C","173.31067961165","03:16"
"3","Deep Sea Ball - The Best Of Clyde McPhatter","Clyde McPhatter","A Lover's Question","A♭","166.277164545128","02:36"
"4","Jump For Joy","Boilermaker Jazz Band","This Can't Be Love","Cm","192.748541666667","03:00"
"5","","Cable Street Rag Band","Panama","A♭","201.257742761662","04:12"
"6","","Girls From Mars","Take The A Train","C","165.731341463415","04:09"
"7","Photographs & Memories: His Greatest Hits","Jim Croce","Bad, Bad Leroy Brown","G","148.050597319425","03:03"
"8","Runaround Sue","Dion","Runaround Sue","E♭","161.05008456515","02:34"
"9","","Mint Julep Jazz Band","Six Jerks In A Jeep","D","187.192288135593","03:08"
"10","Jump","Casey MacGill & The Spirits of Rhythm","Whadaya Want","D♭","150.138796776061","03:17"
"11","The Devils' Music","Naomi & Her Handsome Devils","I'm Livin' in a Great Big Way","C","155","03:33"
"12","Shirt Tail Bounce","Shirt Tail Stompers","In A Mellow Tone","A♭","150.872634835461","03:53"
"13","Battle Axe","Mint Julep Jazz Band","When I Get Low I Get High","Dm","202.468938547486","03:29"
"14","","Cable Street Rag Band","Big Bad Bill is Sweet William Now","C","126.21431372549","03:55"
"15","","Barbara Rosene","I'm Wild About That Thing","Cm","111.228866666667","05:09"
"16","CD2 - The Only Doo-Wop Collection You'll Ever Need","Dion & The Belmonts","A Teenager In Love","D♭","160.184380399444","02:34"
"17","","Boilermaker Jazz Band","Love Me Or Leave Me","Dm","130.811348837209","03:15"
"18","","Raffi","Banana Phone","Em","182.490014675626","03:16"
"19","","Naomi & Her Handsome Devils","Take It Easy Greasy","B♭","135.382153846154","03:46"
"20","Acme","Acme Swing Manufacturing Comany","Bei Mir Bis Du Schoen","Am","191.5","04:34"
"21","Fresh","Bria Skonberg","Why Do Fools Fall in Love","F","172","02:21"
"22","Anthology","The Dovells","Bristol Stomp","D","209.754117647059","02:19"
"23","","The Four Preps","26 Miles","D","118.908883928571","02:29"
"24","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","Shoo Fly Pie and Apple Pan Dowdy","E♭","175","03:22"
"25","Bluebird 8884","The Four Clefs","I Like Pie I Like Cake","D♭","173.228947870918","02:49"
"26","","Professor Cunningham And His Old School","High Degree","Gm","158.16549215717","03:04"
"27","Duets and Duets II - 90Th Birthday Limited Collector's Edition (Disc 2)","Frank Sinatra (feat. Jimmy Buffett)","Mack the Knife","D","154.287307181584","04:27"
"28","Anthology","The Dovells","The Jitterbug","D","194.916231884058","02:19"
"29","The Devils' Music","Naomi & Her Handsome Devils","Sugar","C","131.291395348837","03:56"
"30","","Natalie Cole","This Can't Be Love","Cm","143","02:14"
"31","Fresh","Bria Skonberg","L.O.V.E.","F","154.140330033003","02:34"
"32","All the Cats Join In","IKS Big Band","Sing, Sing, Sing","Am","222.885555555556","03:44"
"33","","Secret Swing Society","I Wanna Be Like You","Cm","194.808500974299","02:36"
"34","The Old Fashioned Way","Rosey","The Old Fashioned Way","Cm","149.076721551615","02:34"
"35","","Della Reese","Whatever Lola Wants","B♭m","112.848015873016","03:16"
"36","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","Sweet Lover No More","Gm","199.271203703704","03:31"
"37","","The Jive Aces","Lovin' Life","A♭","143.830323529412","03:11"
"38","Photograph: The Very Best of Ringo Starr","Ringo Starr","You're Sixteen (You're Beautiful, and You're Mine)","D♭","124.67698630137","02:50"
"39","Energia","J Balvin","Ginza","Fm","102","02:51"
"40","Swing Sucks","The Bill Elliott Swing Orchestra","Mildred, Won't You Behave","C","193.034122807018","03:42"
"41","The Umbrella Man (2016)","Dan Mclean Hot 6","Nobody","B♭","120.940061349693","04:43"
"42","","Dion","Lovers Who Wander","Cm","74.4323622047244","02:35"
"43","","The Kalin Twins","When","F♯/G♭","184.467514885293","02:26"
"44","Unplugged at Caffe Calabria","Earl Thomas","Give Me One Reason","Fm","88.0771768707483","05:30"
"45","Swipe Right For Vintage","Scott Bradlee's Postmodern Jukebox","Seven Nation Army","Gm","90.6591930980677","04:07"
"46","","Ed Sheeran","I See Fire","D♭","76","05:02"
"47","","Johnnie Temple","Lead Pencil Blues","Fm","99.8644445213256","03:17"
"48","Smokestack Lightning: The Complete Chess Masters 1951-1960 CD 2","Howlin' Wolf","I'm The Wolf","Em","76.2350774520403","02:53"
"49","Complete Collection","B. B. King","The Thrill Is Gone","Bm","90.5153695354052","05:24"
"50","Anthology","Muddy Waters","She's Nineteen Years Old","Bm","136.813714285714","03:16"
"51","Reflections","B.B. King","Exactly Like You","A♭","110.529762960625","03:21"
"52","","Carolina Chocolate Drops","Knockin'","Bm","83.2557569721116","05:28"
"53","","Ben L'oncle Soul","Feeling Good","Gm","82.6541584158416","04:12"
"54","","Sleeping At Last","The Safety Dance","F","138.219570552147","03:27"
"55","","Koko Taylor","I'd Rather Go Blind","A♭","130.859793186169","04:57"
"56","","Cable Street Rag Band","Lay Me Down","G","85.0589257152307","05:46"
"57","My One And Only Thrill","Melody Gardot","Your Heart Is As Black As Night","Cm","72","02:44"
"58","The Complete Collection [Not Now] Disc 1","Robert Johnson","Sweet Home Chicago","Fm","100.947881513899","03:02"

