---
venue: cedars
---
"#","Album","Artist","Title","Key","BPM","Duration"
"1","Happy Talk","Kermit Ruffins","More Today Than Yesterday","Dm","162.783892051028","04:00"
"2","","Professor Cunningham And His Old School","One Thing","A♭","143.898726371389","02:28"
"3","Goody Goody","Tsubasa","Goody Goody","F","200","02:00"
"4","Battle Axe","Mint Julep Jazz Band","When I Get Low I Get High","Dm","202.468938547486","03:29"
"5","Keys To The Blues","Curley Bridges","Stagger Lee (Traditional)","E♭","122.560825496734","03:13"
"6","This.","Gordon Webster","School Days","A♭","164.545727549607","04:00"
"7","","Fats Domino","Ain't That A Shame","B","123.133684210526","02:27"
"8","Moppin' And Boppin'","Jonathan Stout And His Campus Five, Featuring Hilary Alexander","9-20 Special","C","161.502704048902","02:39"
"9","Runaround Sue","Dion","Runaround Sue","E♭","161.05008456515","02:34"
"10","Fresh","Bria Skonberg","Why Do Fools Fall in Love","F","172","02:21"
"11","Jump For Joy","Boilermaker Jazz Band","This Can't Be Love","Cm","192.748541666667","03:00"
"12","All the Cats Join In","IKS Big Band","It's Only a Paper Moon","B♭","129.929414225941","03:29"
"13","This.","Gordon Webster","Hallelujah, I Love Her So","Gm","148","03:34"
"14","Photographs & Memories: His Greatest Hits","Jim Croce","Bad, Bad Leroy Brown","G","148.050597319425","03:03"
"15","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","Shoo Fly Pie and Apple Pan Dowdy","E♭","175","03:22"
"16","Photograph: The Very Best of Ringo Starr","Ringo Starr","You're Sixteen (You're Beautiful, and You're Mine)","D♭","124.67698630137","02:50"
"17","Spreadin' Rhythm Around","Chelsea Reed and the Fair Weather Five","Illinois Jacquet Flies Again","D♭","200.368","03:18"
"18","The Devils' Music","Naomi & Her Handsome Devils","I'm Livin' in a Great Big Way","C","155","03:33"
"19","Duets and Duets II - 90Th Birthday Limited Collector's Edition (Disc 2)","Frank Sinatra (feat. Jimmy Buffett)","Mack the Knife","D","154.287307181584","04:27"
"20","Photographs & Memories: His Greatest Hits","Jim Croce","You Don't Mess Around With Jim","Em","164.50730071538","03:03"
"21","","Postmodern Jukebox","I Want It That Way","Cm","107.683791692497","03:11"
"22","","Boilermaker Jazz Band","Love Me Or Leave Me","Dm","130.811348837209","03:15"
"23","","Raffi","Banana Phone","Em","182.490014675626","03:16"
"24","With Cousin Joe, Sonny Joe and Grampa Joe","Lewis Franco & the Missing Cats Featuring the Brown Eyed Girls","Don't Fix It","C","130","03:21"
"25","","Barbara Rosene","I'm Wild About That Thing","Cm","111.228866666667","05:09"
"26","CD2 - The Only Doo-Wop Collection You'll Ever Need","Dion & The Belmonts","A Teenager In Love","D♭","160.184380399444","02:34"
"27","101 Hits - Swing Essentials","Duke Ellington & His Famous Orchestra","Take The 'A' Train","C","168.111151865051","02:53"
"28","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","There's Frost On the Moon","D♭","182.805517241379","03:06"
"29","The Ultimate Collection - Disc 1","Ray Charles","Hit The Road Jack","C♯m","173.133468723899","01:59"
"30","","The Kalin Twins","When","F♯/G♭","184.467514885293","02:26"
"31","Bluebird 8884","The Four Clefs","I Like Pie I Like Cake","D♭","173.228947870918","02:49"
"32","Betcha Bottom Dollar","The Puppini Sisters","I Will Survive","Am","126","04:04"
"33","Ol' King Cole","Ol' King Cole","Straighten Up & Fly Right","A♭","143.554769004519","02:45"
"34","Shirt Tail Bounce","Shirt Tail Stompers","In A Mellow Tone","A♭","150.872634835461","03:53"
"35","Stockholm Concert 1966 (Remastered)","Duke Ellington and Ella Fitzgerald","Let's Do It (Live)","B♭","99.7076064780541","04:10"
"36","Deep Sea Ball - The Best Of Clyde McPhatter","Clyde McPhatter","A Lover's Question","A♭","166.277164545128","02:36"
"37","Swing Sucks","The Bill Elliott Swing Orchestra","Mildred, Won't You Behave","C","193.034122807018","03:42"
"38","Squeeze Me","The Big Butter Jazz Band","Undecided","B♭","196.9078186609","03:40"
"39","Fresh","Bria Skonberg","L.O.V.E.","F","154.140330033003","02:34"
"40","Jump","Casey MacGill & The Spirits of Rhythm","Whadaya Want","D♭","150.138796776061","03:17"
"41","","Mint Julep Jazz Band","Six Jerks In A Jeep","D","187.192288135593","03:08"
"42","","Koko Taylor","I'd Rather Go Blind","A♭","130.859793186169","04:57"
"43","Sugar in My Bowl","Di Anne Price","Sugar in My Bowl","Dm","74.070042377449","03:36"
"44","","Noah Guthrie","Sexy And I Know It","Em","116.923483146067","03:06"
"45","Sugar in My Bowl","Di Anne Price","Baby, You Got What it Takes","D♯m/E♭m","115.335046728972","04:32"
"46","","Karen Souza","Creep","G","94","03:31"
"47","Swipe Right For Vintage","Scott Bradlee's Postmodern Jukebox","Seven Nation Army","Gm","90.6591930980677","04:07"
"48","","Ruth Brown","5-10-15 Hours","D♭","121.900135922465","03:12"
"49","Complete Collection","B. B. King","The Thrill Is Gone","Bm","90.5153695354052","05:24"
"50","Unplugged at Caffe Calabria","Earl Thomas","Give Me One Reason","Fm","88.0771768707483","05:30"
"51","","Carolina Chocolate Drops","Knockin'","Bm","83.2557569721116","05:28"
"52","","Eight To The Bar","Walk Of Shame","Cm","110.152830188679","03:40"
"53","Ladies Man","Pinetop Perkins","Kansas City","C","121","04:44"
"54","","Cable Street Rag Band","Sloppy Drunk","F","105.831104253979","04:51"
"55","","Ben L'oncle Soul","Feeling Good","Gm","82.6541584158416","04:12"
"56","Reflections","B.B. King","I'll String Along with You","E♭","127.07369118224","03:32"
"57","Anthology","Muddy Waters","She's Nineteen Years Old","Bm","136.813714285714","03:16"
"58","The Complete Collection [Not Now] Disc 1","Robert Johnson","Sweet Home Chicago","Fm","100.947881513899","03:02"
"59","","Johnnie Temple","Lead Pencil Blues","Fm","99.8644445213256","03:17"
"60","","Leftover Cuties","Clarity","G","83.8115109480371","04:22"

